EmpID,PerfScoreID,Salary,PositionID,Sex,Absences
10263,3,71776,20,F,17
10136,3,65902,20,F,7
10189,3,57748,19,F,16
10308,1,64057,19,M ,15
10309,1,53366,15,M ,2
10049,3,58530,19,F,19
10093,3,72609,20,M ,20
10163,3,55965,20,F,6
10305,3,70187,3,M ,7
10015,4,178000,12,M ,15
10080,3,99351,26,F,3
10258,3,67251,3,M ,7
10273,3,65707,14,F,1
10111,3,52249,19,M ,5
10257,3,53171,19,F,12
10159,3,51337,19,F,19
10122,3,51505,19,F,2
10142,3,59370,3,F,7
10283,2,54933,19,M ,15
10018,4,57815,19,F,3
10255,3,61555,3,F,20
10246,3,114800,8,F,10
10228,3,74679,14,M ,20
10243,3,53018,19,F,7
10031,4,59892,19,M ,1
10300,1,68898,20,M ,10
10101,3,61242,14,F,11
10237,3,66825,20,F,20
10051,3,48285,19,M ,2
10218,3,66149,20,F,1
10256,3,49256,19,F,3
10098,3,62957,18,M ,2
10059,3,63813,19,F,17
10234,3,99020,4,M ,8
10109,3,71707,3,M ,20
10125,3,54828,19,F,13
10074,3,64246,20,M ,20
10097,3,52177,19,F,8
10007,4,62065,19,F,5
10129,3,46998,19,M ,1
10075,3,68099,20,F,15
10167,3,70545,3,M ,9
10195,3,63478,20,F,16
10112,3,97999,8,F,4
10272,3,180000,11,F,19
10182,3,49920,2,F,6
10248,3,55425,19,F,4
10201,3,69340,20,F,4
10214,3,64995,20,F,6
10160,3,68182,20,F,18
10289,2,83082,18,M ,4
10139,3,51908,19,F,14
10227,3,61242,19,F,7
10236,3,45069,19,F,7
10009,4,60724,20,F,11
10060,3,60436,19,F,9
10034,4,46837,19,M ,9
10156,3,105700,8,F,2
10036,4,63322,20,F,1
10138,3,61154,19,F,4
10244,3,68999,21,F,2
10192,3,50482,19,M ,10
10231,3,65310,3,M ,13
10089,3,250000,16,F,10
10166,3,54005,19,F,16
10170,3,45433,19,F,6
10208,3,46654,19,M ,3
10176,3,63973,19,M ,17
10165,3,71339,3,M ,20
10113,3,93206,28,M ,7
10092,3,82758,18,M ,9
10106,3,66074,20,F,20
10052,3,46120,19,M ,13
10038,3,64520,1,M ,3
10249,3,61962,20,M ,20
10232,3,81584,22,F,2
10087,3,63676,19,F,17
10134,3,93046,23,M ,20
10251,3,64738,19,M ,10
10103,3,70468,3,M ,16
10017,4,77915,18,F,11
10186,3,52624,19,F,16
10137,3,63450,20,M ,7
10008,4,51777,14,F,14
10096,3,67237,20,F,15
10035,4,73330,20,F,19
10057,3,52057,19,F,6
10004,4,47434,19,F,17
10191,3,52788,19,M ,18
10219,3,45395,19,F,14
10077,3,62385,20,F,4
10073,3,68407,20,F,16
10279,3,61349,19,F,11
10110,3,105688,24,F,14
10053,3,54132,19,F,8
10076,3,55315,20,F,16
10145,3,62810,19,F,20
10202,3,63291,3,M ,7
10128,3,62659,19,F,17
10068,3,55688,19,F,10
10116,3,83667,18,M ,2
10298,1,55800,20,M ,6
10213,3,58207,20,M ,14
10288,2,157000,13,M ,13
10025,4,72460,20,F,1
10223,3,72106,20,M ,12
10151,3,52599,15,F,6
10254,3,63430,19,F,18
10120,3,74417,20,M ,11
10216,3,57575,19,M ,13
10079,3,87921,22,M ,17
10215,3,50470,19,M ,19
10185,3,46664,19,M ,10
10063,3,48495,19,M ,11
10037,4,52984,19,F,12
10042,3,63695,3,F,2
10206,3,62061,19,F,4
10104,3,66738,20,F,5
10303,1,52674,19,F,3
10078,3,71966,20,F,17
10121,3,63051,3,F,1
10021,4,47414,19,M ,13
10281,2,53060,19,M ,6
10041,3,68829,3,M ,18
10148,3,63515,19,F,7
10005,4,108987,24,M ,13
10259,3,93093,9,M ,19
10286,2,53564,19,M ,15
10297,2,60270,20,F,2
10171,3,45998,19,F,5
10032,4,57954,20,F,12
10130,3,74669,18,F,6
10217,3,74226,20,F,14
10016,4,93554,9,F,16
10050,3,64724,19,M ,13
10164,3,47001,19,M ,15
10124,3,61844,3,F,9
10187,3,46799,19,F,14
10225,3,59472,19,M ,14
10262,3,46430,19,F,16
10131,3,83363,23,M ,4
10239,3,95920,4,F,10
10152,3,61729,19,M ,19
10140,3,61809,3,M ,4
10058,3,45115,19,M ,11
10011,4,46738,19,F,16
10230,3,64971,20,F,10
10224,3,55578,20,M ,13
10047,3,50428,19,M ,11
10285,2,61422,19,F,16
10020,4,63353,19,M ,4
10162,3,89883,9,F,15
10149,3,120000,29,F,12
10086,3,150290,7,F,17
10054,3,60627,19,F,8
10065,3,53180,19,M ,4
10198,3,140920,13,M ,13
10222,3,148999,13,M ,8
10126,3,86214,24,F,2
10295,2,47750,19,F,4
10260,3,46428,19,M ,7
10233,3,57975,20,M ,13
10229,3,88527,9,M ,2
10169,3,56147,19,F,2
10071,3,50923,19,F,14
10179,3,50750,15,F,7
10091,3,52087,19,F,15
10178,3,87826,9,M ,16
10039,3,51920,2,F,2
10095,3,63878,20,F,20
10027,4,60656,20,M ,4
10291,2,72992,21,M ,16
10153,3,55000,2,F,17
10157,3,58939,19,F,16
10119,3,66593,14,F,19
10180,3,87565,28,M ,13
10302,1,64021,19,F,20
10090,3,65714,18,F,15
10030,4,62425,19,F,16
10278,3,47961,19,F,9
10307,1,58273,3,M ,5
10147,3,63003,1,M ,9
10266,3,61355,19,M ,4
10241,3,60120,3,F,18
10158,3,63682,18,F,12
10117,3,63025,19,M ,10
10209,3,59238,19,F,13
10024,4,92989,24,M ,1
10173,3,90100,4,M ,14
10221,3,60754,19,F,11
10146,3,72202,20,F,3
10161,3,58370,3,F,18
10141,3,48413,19,F,1
10268,3,67176,20,M ,15
10123,3,56339,19,F,4
10013,4,64397,3,M ,6
10287,2,63025,19,F,18
10044,3,75281,15,M ,11
10102,3,100416,24,M ,9
10270,3,74813,20,F,5
10045,3,76029,15,M ,8
10205,3,57859,3,F,16
10014,4,58523,19,M ,15
10144,3,88976,17,M ,19
10253,3,55875,3,M ,11
10118,3,113999,8,M ,9
10022,4,49773,19,F,18
10183,3,62068,19,F,7
10190,3,66541,20,M ,4
10274,3,80512,18,F,5
10293,2,50274,19,F,13
10172,3,84903,22,M ,17
10127,3,107226,28,F,7
10072,3,58371,19,M ,11
10048,3,55140,19,M ,7
10204,3,58062,19,F,9
10264,3,59728,19,F,16
10033,4,70507,20,M ,7
10174,3,60446,20,F,14
10135,3,65893,20,M ,13
10301,1,48513,19,F,4
10010,4,220450,6,F,16
10043,3,89292,9,F,11
10271,3,45046,19,F,2
73509,1,54670,6,M ,20
49687,2,86214,4,M ,16
62816,2,62385,14,F,7
43886,4,68182,12,M ,2
23162,1,51920,7,F,17
27897,2,68898,3,F,15
11804,1,48513,12,F,2
86815,4,55722,10,F,17
75770,3,148999,17,M ,6
28768,4,56339,8,F,5
38609,4,87921,8,F,8
28777,1,57748,6,F,5
63904,4,61422,12,M ,2
82943,2,64955,19,M ,1
37792,2,53492,6,F,1
97374,2,104437,4,F,6
11695,3,60380,24,M ,13
12435,3,63051,8,M ,5
55997,1,64066,1,M ,12
68844,3,65714,10,F,12
40596,1,83082,17,F,19
14981,1,52057,23,M ,17
38752,2,72460,8,M ,17
83073,3,55800,15,M ,7
45052,4,74226,9,M ,2
86846,1,148999,17,M ,2
28085,1,57583,1,M ,6
35545,3,72609,18,M ,10
31283,4,63515,10,F,8
19970,3,65902,3,F,2
34168,4,58370,7,F,5
29111,4,46998,14,F,6
43531,1,63763,26,M ,19
59329,1,64971,9,M ,20
59033,4,47961,29,F,10
73966,2,80512,20,M ,20
29187,4,60724,24,M ,7
57337,2,47750,26,M ,13
90303,3,54670,29,F,13
95873,4,61349,19,M ,7
16635,1,60070,2,F,8
43850,1,60656,25,M ,15
21117,3,52846,23,M ,9
94476,1,89292,27,F,13
19528,4,45046,22,M ,12
56003,4,63695,30,M ,13
32310,3,66825,12,F,7
84201,2,51908,5,M ,16
89787,3,90100,14,F,18
61142,2,58370,23,M ,4
74934,2,60446,24,M ,12
84896,1,52624,18,M ,13
89783,3,56147,3,F,20
72595,1,46738,8,F,15
78174,2,74241,11,M ,3
94759,2,180000,7,F,20
66995,1,59124,17,F,4
81329,4,53564,18,M ,1
10861,4,75281,5,F,18
63553,2,45115,14,F,7
31988,1,53171,12,F,3
28772,2,64995,22,F,16
49267,4,61656,15,M ,8
82627,4,103613,28,M ,7
42369,1,80512,25,F,13
68102,2,50428,4,F,15
59834,4,72460,29,F,5
90374,2,108987,29,M ,16
43167,2,120000,24,F,2
32470,2,67237,7,F,3
48339,4,46335,7,M ,4
10913,4,62810,23,F,18
47559,4,63682,23,M ,16
48344,4,74679,13,M ,17
19673,3,45998,27,F,12
37112,3,63450,11,F,14
96252,2,63973,10,F,10
59396,3,120000,19,F,7
36841,1,74669,30,F,6
10642,4,51259,5,M ,8
63491,2,65729,28,F,4
41446,4,52624,30,M ,16
89968,3,64246,2,M ,2
35970,2,107226,24,F,1
84727,2,58939,10,F,12
26512,2,55875,18,F,20
93886,3,180000,4,F,1
66486,4,65893,28,F,17
78888,3,58709,26,F,6
52599,4,60380,15,M ,11
89649,4,58371,2,F,11
60970,4,64971,8,M ,18
83974,1,45069,7,M ,18
90674,3,61154,7,M ,7
76964,3,68099,21,M ,8
75772,1,48413,16,F,8
56401,4,56294,29,M ,19
91720,3,46335,24,M ,5
93482,4,72640,25,M ,18
63303,4,54670,1,M ,10
15126,4,99020,19,M ,8
86654,4,99351,17,F,5
63672,2,52057,23,M ,8
96845,3,65714,27,F,4
87876,4,52249,9,M ,15
43291,3,114800,22,M ,1
74677,1,64246,5,M ,16
88316,3,63695,26,F,3
86325,4,75281,4,M ,20
61106,1,58371,30,F,3
90810,4,70468,5,M ,16
19008,4,86214,8,M ,12
72225,1,62810,22,M ,1
60497,2,50923,24,F,3
87563,3,62506,29,F,14
43366,1,70187,13,M ,16
39225,3,110000,2,M ,11
20502,2,63025,23,F,13
45624,4,47837,18,M ,3
38302,1,51908,21,M ,7
89982,3,62514,28,F,4
46239,2,73330,29,M ,18
27680,2,66149,17,F,11
24947,4,64066,3,F,12
14264,4,56147,17,F,12
42196,1,99351,8,M ,17
37696,1,84903,27,F,16
26147,1,81584,18,M ,18
77460,3,92329,20,M ,9
83226,3,52087,9,F,5
12723,2,46837,14,F,18
55925,3,62810,18,M ,3
73481,2,64724,2,M ,10
16713,2,60724,3,M ,6
56482,1,51908,18,F,6
84830,1,45115,28,M ,17
48354,3,66593,22,M ,4
67475,4,61242,25,M ,10
56893,2,65707,29,F,1
90115,1,61349,7,M ,7
62963,2,54237,13,M ,19
93172,1,62162,25,F,16
30785,2,64724,18,F,5
70157,2,59026,4,F,8
34470,4,95920,4,F,4
38781,1,59231,3,M ,3
15454,1,80512,16,F,11
34659,2,62061,2,F,7
84492,1,148999,6,F,6
83147,1,108987,13,F,2
45298,1,220450,4,M ,2
60321,4,64066,23,F,17
25106,3,51777,28,M ,18
86726,4,93554,5,F,1
47081,4,110000,8,F,10
74310,2,48888,23,M ,17
52169,3,53492,1,F,15
52945,2,180000,19,M ,1
57882,1,48495,3,M ,11
47889,3,64816,30,M ,7
49278,2,106367,18,M ,5
52552,2,58530,13,M ,18
23303,2,52788,16,F,6
70702,3,45046,23,F,13
37261,2,59370,2,M ,3
87930,3,75281,10,F,11
29228,4,63000,16,F,3
93302,4,72992,11,M ,4
74708,1,51259,10,M ,3
64213,2,105688,20,M ,16
82387,1,48413,1,F,5
23156,4,56991,12,M ,4
83884,2,63813,11,M ,20
43679,2,64246,23,F,3
97487,2,59231,13,F,7
59807,3,46430,2,M ,16
52888,3,54132,26,M ,1
32899,3,51259,13,F,10
45444,3,86214,28,M ,9
57630,4,45115,15,F,7
73188,1,63322,23,F,20
15442,4,65707,28,M ,20
33595,3,74813,14,M ,15
91426,2,60380,17,F,18
79411,1,46799,19,M ,15
61185,1,57575,2,F,10
94133,4,60270,13,M ,6
87575,1,57834,21,M ,18
40131,2,57583,23,M ,20
85729,4,83667,13,F,19
84845,3,62065,1,M ,8
36826,3,59369,3,F,14
22586,2,62910,28,F,9
89398,1,70507,17,M ,1
19087,3,45998,17,M ,19
65316,3,50470,2,F,16
65788,3,61555,8,M ,14
67852,1,74226,16,F,11
29433,2,64397,7,F,3
79120,1,83363,25,F,20
63057,1,63291,15,F,5
67266,4,93206,26,F,1
61255,4,74417,16,F,19
24823,2,48888,27,F,9
16405,4,58523,24,M ,15
49559,1,220450,21,M ,5
69408,3,70131,7,F,16
12430,2,50428,2,M ,7
88457,1,77692,30,F,4
56537,3,63291,1,M ,10
38102,2,61809,25,M ,18
98958,3,62385,4,F,18
76894,1,65893,4,F,18
32102,2,53189,20,F,8
61327,4,56147,10,F,8
57052,2,56147,9,M ,15
30801,2,62910,18,M ,6
94980,4,68407,30,M ,12
11335,2,46335,3,M ,1
49722,1,50178,28,F,6
48567,1,58709,27,F,4
83662,3,96820,17,M ,5
33138,1,62957,22,F,19
70885,1,74312,17,F,14
45685,4,106367,1,M ,11
58238,4,60656,1,M ,13
99806,1,103613,13,M ,18
11775,2,103613,28,M ,4
22015,2,105688,8,F,6
29017,3,58939,25,M ,1
45299,4,45046,10,F,19
46890,2,63381,29,F,19
39133,1,68051,7,M ,4
13674,3,74312,11,F,3
47470,4,62065,12,M ,14
41984,3,51777,19,F,7
18618,4,62506,15,M ,6
76243,2,90100,8,M ,10
55051,1,55800,16,F,8
55757,1,59472,12,M ,8
60677,1,58062,8,M ,14
66618,2,63478,28,F,2
90490,1,71707,29,F,12
53743,1,55875,8,M ,14
24651,2,63813,21,M ,19
74259,2,72640,22,F,17
24483,4,45046,8,M ,9
63062,1,59365,9,M ,7
34661,1,61656,7,M ,11
36552,2,62425,30,M ,11
37255,2,55965,3,M ,15
30627,3,52674,2,F,16
19149,3,56149,20,M ,6
26452,3,56847,4,F,6
64243,3,64955,6,M ,10
24122,2,73330,4,M ,11
67717,4,83667,1,M ,7
86351,3,60754,8,M ,4
92741,1,66441,25,M ,8
47651,4,52984,13,F,17
71577,2,47211,2,M ,16
90670,2,63478,24,F,4
23838,4,64021,5,M ,3
55694,1,59124,12,F,12
45836,2,62385,28,M ,6
80869,1,72640,9,F,17
67557,4,51337,16,M ,18
92835,2,56991,23,M ,3
56561,3,61962,25,F,20
29850,1,93396,16,M ,7
32281,4,60754,23,F,15
75989,2,68182,28,F,4
96775,1,95920,8,F,17
18282,2,105700,9,M ,11
44593,4,58275,23,F,16
12344,3,63051,30,M ,14
71958,1,62065,12,M ,20
28308,1,47001,18,F,5
32528,1,108987,12,M ,15
12213,3,60120,27,M ,3
63837,1,87826,6,F,4
93228,3,47211,30,F,16
17776,4,72640,23,M ,17
77793,1,110929,16,M ,8
17092,1,74241,5,M ,17
45698,2,59144,17,F,12
97279,3,72106,28,F,17
88056,2,58530,16,M ,6
84381,3,93206,17,F,5
30071,1,50373,25,F,10
22279,3,83363,13,F,5
19551,3,62957,18,M ,18
59850,1,46998,14,M ,5
22735,2,53564,9,F,20
52481,1,178000,17,F,1
99311,1,56149,4,F,3
36997,3,64066,9,F,20
23512,1,47837,7,F,7
61360,1,46428,21,F,4
88352,3,60270,26,M ,20
59505,4,46998,30,M ,8
20888,3,63813,12,F,4
35941,3,100031,13,F,3
38830,2,64738,10,F,12
29564,1,56294,22,M ,11
19271,3,68999,1,M ,3
59821,1,68898,27,M ,15
85980,2,64919,29,F,8
49346,3,45046,26,F,4
32184,3,114800,23,M ,4
80419,3,73330,20,M ,15
30864,3,64246,18,M ,10
92803,4,46998,23,F,13
25279,1,47837,22,F,13
34239,3,63478,5,M ,10
45991,1,55722,19,M ,1
42008,3,72202,12,F,18
47191,1,65310,2,M ,16
15725,4,75188,23,F,2
39738,3,74417,21,F,12
19415,2,47414,19,F,11
69177,3,60627,14,M ,8
51883,4,74326,11,F,3
68279,4,62068,28,F,6
51911,4,59369,22,M ,5
63381,1,64057,28,M ,20
37384,2,52505,22,M ,20
30596,3,67251,5,M ,2
12369,4,55425,11,M ,7
84543,2,62385,20,M ,3
76837,3,64021,13,F,10
91038,3,52846,3,M ,3
21198,1,93554,15,M ,20
46889,1,46428,14,F,2
38308,3,72460,28,M ,12
82741,2,45395,16,M ,15
11767,3,93093,4,F,12
37656,4,63695,24,F,6
60887,4,45115,5,F,5
53855,3,54005,20,M ,9
87495,4,55800,6,M ,16
56271,2,57583,6,F,13
84969,4,74312,14,F,10
41651,1,61729,14,M ,10
84461,1,63878,19,F,4
17578,4,74679,15,M ,11
34372,4,80512,8,M ,15
97387,4,64919,8,F,8
49564,3,55140,22,F,1
93222,4,68099,10,M ,1
48527,4,55425,12,F,7
19855,2,57568,24,M ,14
95552,1,63695,20,F,18
72679,2,61729,27,F,10
31219,1,93046,16,M ,12
60660,3,49256,20,M ,18
86278,4,65902,8,F,5
33050,4,60627,10,M ,18
98200,4,48495,25,F,8
73969,4,108987,9,F,3
31610,3,63813,18,M ,19
34680,3,57815,11,F,20
31958,2,47750,1,F,19
82423,4,63682,25,M ,9
71102,4,71707,4,F,5
92435,4,54670,3,M ,4
17065,2,58370,27,F,13
61771,3,54005,30,M ,2
36263,1,67176,17,F,3
17572,1,88976,30,F,7
60263,1,74326,21,M ,18
26216,4,83082,8,F,8
95469,3,55875,26,F,10
27461,2,60656,24,M ,8
13882,4,74669,2,F,9
99861,3,58273,18,F,9
51811,2,70131,23,M ,3
70374,4,61355,3,M ,13
53067,3,52674,6,M ,10
30382,2,55965,3,M ,2
82343,1,66808,21,F,14
40727,2,71860,11,F,18
68002,2,61355,14,F,19
92477,4,62162,2,F,19
27940,3,63676,20,F,10
90569,2,52249,5,M ,2
39320,1,58273,19,M ,7
13098,4,53250,8,M ,6
43413,3,71860,16,M ,18
73425,3,63763,22,F,17
34825,4,45046,28,F,20
37687,3,56149,16,F,15
58959,3,58523,27,M ,7
30330,3,60380,14,M ,14
61433,1,63763,28,M ,11
98407,1,58207,7,F,17
14942,2,90100,22,M ,20
24725,3,60436,23,F,17
93876,4,58939,16,F,13
49167,4,74669,17,M ,20
37090,3,83082,17,F,11
86524,3,45046,14,F,8
87602,1,63450,12,M ,9
65511,2,62065,29,M ,20
92755,3,61349,26,M ,6
17620,1,60270,12,F,8
22191,3,50923,16,M ,4
83020,3,53189,4,F,16
44836,3,68898,20,M ,11
81913,2,59144,13,M ,1
78662,3,57975,17,M ,15
32687,2,52249,20,F,17
22117,3,64520,7,M ,6
35001,3,59728,12,M ,1
17879,1,61729,28,F,10
23304,3,62162,14,F,9
21102,2,83363,29,F,13
26326,2,57575,9,F,3
62736,2,68678,23,F,9
92649,4,60627,25,M ,10
20463,4,60446,1,M ,7
26416,4,46837,3,F,13
17512,1,77692,26,F,14
43117,2,59369,25,M ,8
79288,4,58371,19,F,1
74004,2,95920,19,M ,9
54443,1,73330,25,M ,13
71556,1,52846,5,M ,20
85066,4,47750,4,F,20
37060,2,61555,22,F,18
28311,1,58530,24,M ,10
52325,1,65714,17,F,1
97430,4,46738,19,F,9
30765,1,60270,29,M ,5
93173,1,71707,3,M ,18
14953,1,64738,18,M ,6
82340,1,83082,17,M ,9
19459,1,92329,10,F,5
93154,4,93206,21,M ,8
12160,2,56294,1,M ,8
23340,1,220450,18,M ,12
53024,4,62957,10,F,2
39697,1,52057,7,F,17
29630,3,83552,28,M ,8
59653,1,110000,15,M ,12
95881,2,47750,23,M ,9
78990,3,48513,1,F,20
56653,3,83082,19,F,19
85030,1,74669,4,M ,2
99426,4,63003,10,M ,4
32112,4,61555,14,F,4
79847,1,50750,5,F,1
49806,3,51259,10,F,12
90423,4,71966,6,F,7
31746,2,87565,27,F,10
75710,2,70545,29,F,10
36930,2,46430,5,F,17
68120,3,64991,7,F,5
53405,3,59231,8,M ,10
19270,2,66149,21,F,7
61938,4,60340,5,F,4
32375,1,61555,27,F,19
98592,3,45069,28,F,6
52224,1,66808,8,F,6
60040,2,64246,10,F,13
88248,2,47414,6,M ,14
68560,3,59365,2,M ,16
24903,1,50274,17,F,20
62586,2,64991,13,F,4
19196,1,74679,5,F,18
42562,2,85028,30,F,10
65212,1,53171,5,M ,2
42251,2,47837,4,F,6
39286,4,104437,28,M ,5
80772,1,68999,21,F,3
76854,2,50750,13,F,3
46658,4,62810,26,F,15
95349,3,54005,6,M ,11
81730,1,71707,30,M ,3
15738,4,96820,1,M ,14
96176,3,55315,26,M ,15
77077,4,52249,15,M ,12
61734,2,220450,16,M ,18
16221,2,65729,22,F,4
24932,4,72202,12,F,2
33566,1,59124,1,M ,7
70237,4,66825,9,F,9
81058,2,59238,6,F,18
33887,2,83363,12,M ,15
10827,1,54237,3,M ,18
46630,3,67237,15,F,8
24618,3,68829,12,M ,20
74774,3,50274,11,M ,3
31413,4,46799,6,M ,11
14846,2,54933,20,F,4
47844,3,52624,25,M ,12
85476,3,46998,20,M ,18
13397,1,68999,29,M ,17
75086,2,72106,1,M ,12
85190,2,64724,29,M ,9
62133,1,64021,16,F,11
71523,3,180000,4,M ,9
23832,1,64738,6,M ,10
98864,3,63813,13,M ,12
24897,4,72106,4,M ,14
92200,1,63682,8,M ,3
51531,4,64919,9,F,15
70770,3,55722,23,F,12
34458,1,99020,20,M ,11
49955,2,59728,6,M ,1
31902,3,100416,8,F,5
81749,3,93554,16,M ,16
32809,4,92328,19,M ,1
57469,4,57834,6,M ,9
83047,3,51259,7,M ,6
98127,1,148999,9,M ,7
92140,1,50178,28,F,3
69478,3,53250,22,M ,18
16085,3,45433,11,M ,14
35147,1,62957,11,M ,4
93093,1,61154,7,M ,8
74307,4,45395,16,F,14
70575,4,60446,28,F,5
90627,2,45395,14,F,14
31028,1,61242,27,F,14
61399,3,56847,8,M ,18
65771,4,67176,8,F,19
58072,3,49773,10,M ,15
33109,3,60436,26,F,1
20297,1,55875,30,F,19
49725,4,61844,15,M ,11
30654,4,83082,18,F,6
50295,1,59231,1,F,11
60210,3,58062,15,M ,11
32531,2,63000,4,M ,1
46053,2,63051,3,M ,9
44062,4,63682,14,F,14
56470,4,110929,18,M ,18
86570,2,57583,6,F,2
12225,2,68407,25,M ,12
17492,2,65902,11,F,8
72270,3,67251,26,M ,20
24067,4,50470,14,F,4
93590,3,54670,2,M ,17
83434,2,250000,16,F,7
27743,2,45046,24,M ,19
99692,3,63430,13,M ,20
66602,3,64971,6,M ,7
41516,4,89883,11,M ,12
95884,3,66738,28,F,20
49154,3,49773,25,F,15
47112,3,65902,1,M ,3
92557,1,63695,25,M ,8
59666,3,72460,4,M ,7
21617,4,47837,8,F,6
81750,1,74241,20,F,20
79680,4,65714,9,M ,12
89519,2,220450,8,F,15
20927,1,64786,24,M ,18
70123,2,46799,28,F,7
19040,3,76029,25,M ,2
34800,3,82758,12,F,20
14246,4,55578,13,F,20
85567,3,63381,26,F,7
40958,3,58530,7,F,17
33382,2,52057,19,M ,1
81118,3,93554,24,M ,14
28919,2,63322,4,M ,4
30044,2,60627,10,F,1
93725,1,52087,16,F,5
91105,3,51259,6,F,3
23384,2,66738,11,M ,14
29833,2,93554,22,F,2
10387,3,61844,25,M ,1
94174,4,56847,3,M ,9
22385,4,63322,14,F,15
93295,1,48413,20,F,4
92298,3,63108,26,F,13
56500,1,63322,2,F,13
90381,2,53018,19,F,2
97037,4,53366,1,F,3
20397,2,49920,20,M ,15
68219,3,49256,13,M ,16
12361,4,82758,2,F,19
47166,3,66441,27,M ,13
48933,2,70621,17,M ,6
43879,3,68182,21,M ,15
92580,1,52177,26,M ,13
69254,3,61568,2,F,9
66158,2,70187,21,M ,8
96386,1,72106,30,M ,5
50135,4,71707,18,M ,14
62519,3,47001,30,F,19
93880,2,59231,13,M ,19
56866,2,80512,8,F,10
65816,1,50750,25,M ,9
50157,1,62061,26,M ,20
29623,1,148999,28,M ,6
58578,3,93396,1,M ,12
30235,3,55722,30,F,15
81770,4,48413,1,M ,14
84619,3,68898,3,M ,19
86138,4,61555,12,M ,10
27304,4,89292,30,M ,9
73327,1,56147,2,F,4
24384,4,93206,26,F,5
41093,3,120000,20,F,20
46607,1,157000,29,M ,17
26240,2,48888,2,M ,11
37945,1,83363,9,M ,19
81709,1,47837,30,M ,16
47022,1,90100,15,F,19
61587,3,45069,15,M ,10
65775,3,61242,8,F,4
69514,3,61844,12,F,9
17184,2,64955,12,M ,15
67185,1,51777,19,M ,9
60199,4,66441,1,M ,12
31997,4,54285,17,F,12
82927,4,71860,15,F,20
83145,2,80512,2,F,4
76959,3,45046,9,M ,16
63418,3,45115,8,F,7
84595,1,68099,10,M ,6
56784,1,66825,19,F,16
10639,2,138888,19,M ,7
97691,4,72992,26,M ,20
46927,3,63813,16,F,4
89151,2,55425,5,F,18
78147,2,67176,14,F,7
62811,2,50923,11,M ,11
67723,2,54237,13,F,12
83714,1,72992,7,F,20
90695,4,71860,2,M ,12
65515,3,65729,23,F,7
11205,3,64520,17,M ,5
84430,1,54285,23,M ,10
70821,1,59365,3,M ,4
36068,4,157000,27,M ,16
11342,2,110000,3,M ,5
44090,1,51908,7,F,10
94169,4,50428,16,F,2
24569,1,63353,30,F,3
86509,1,50274,1,M ,2
95119,1,71339,3,F,9
86255,4,72609,6,F,2
27485,1,56991,7,F,2
14738,3,150290,24,F,9
19994,3,97999,28,F,2
64518,1,55800,30,F,11
10830,1,69340,12,F,4
